pubID,topicQuery,typeQuery,tweet,tokens,hashtags,mentions,likeCount,replyCount,retweetCount,authorID,authorName,authorUsername,authorCreatedAt,authorVerified,followersCount,followingCount,pubDate,pubYear,pubMonth,pubDay,pubHour,pubMinute,geoID,geoName,longitude,latitude
1145584714394132480,incendio,palabras clave,"⚠️#Precaución 🚨🚒 Servicios de emergencia laboran por incendio de vehículo sobre Santa María y Xólotl, Colonia Purísima Atlazolpa, @Alc_Iztapalapa #911CDMX #C5. https://t.co/04kwjGfNZV","['servicio', 'emergencio', 'laborar', 'incendio', 'vehículo', 'santa', 'maría', 'xólotl', 'colonia', 'purísimar', 'atlazolpa']","['Precaución', '911CDMX', 'C5']",['Alc_Iztapalapa'],10,0,3,195951901,C5 CDMX,C5_CDMX,2010-09-27 17:51:04,1,925862,763,2019-07-01 01:47:34,2019,07,01,01,47,7,Iztapalapa,19.3491663204,-99.0567989642
1145588055753011200,incendio,palabras clave,"#Precaución |

Servicios de emergencia laboran por #incendio de vehículo sobre Santa María y Xólotl, Colonia Purísima Atlazolpa, @Alc_Iztapalapa @C5_CDMX https://t.co/OvbSgU6Qh5","['servicio', 'emergencio', 'laborar', 'vehículo', 'santa', 'maría', 'xólotl', 'colonia', 'purísimar', 'atlazolpa']","['Precaución', 'incendio']","['Alc_Iztapalapa', 'C5_CDMX']",9,1,0,293063533,JORGE BECERRIL JB/8,MrElDiablo8,2011-05-04 12:00:15,1,172287,888,2019-07-01 02:00:51,2019,07,01,02,00,7,Iztapalapa,19.3491663204,-99.0567989642
1145675814551396352,tránsito,palabras clave,"⚠️Dos policías murieron esta mañana al chocar su patrulla de tránsito contra la base de un puente.⚠️ Uno de los oficiales quedó prensado, el otro salió proyectado. ‼️Ocurrió sobre Zaragoza y República Federal en #Iztapalapa. Mucha precaución amigos.‼️ https://t.co/w68fdD6Dqx","['dos', 'policía', 'morir', 'mañana', 'chocar', 'patrulla', 'tránsito', 'base', 'puente', 'oficial', 'quedar', 'prensado', 'salir', 'proyectado', 'ocurrir', 'zaragoza', 'república', 'federal', 'mucho', 'precaución', 'amigo']",['Iztapalapa'],[],70,12,37,472317541,Isidro Corro,isidrocorro,2012-01-23 14:39:39,0,158481,52,2019-07-01 07:49:34,2019,07,01,07,49,7,Iztapalapa,19.3491663204,-99.0567989642
1145755585524031489,tránsito,coordenadas,@OVIALCDMX @SSP_CDMX @UCS_GCDMX #quepocamadre baita otra vez estacionados en insurgentes 383 que está prohibido violando el reglamento de tránsito y vialidad manden gruas CUARTA TRANSFORMACIÓN DE LA SI IMPUNIDAD DE BAITA SI CORRUPCIÓN DE LA JEFA DE GOBIERNO DENUNCIAN https://t.co/BipnU7f50y,"['bafta', 'vez', 'estacionado', 'insurgente', '383', 'prohibido', 'violar', 'reglamento', 'tránsito', 'vialidad', 'mandir', 'grutas', 'cuarto', 'transformación', 'si', 'impunidad', 'bafto', 'si', 'corrupción', 'jefa', 'gobierno', 'denunciar']",['quepocamadre'],"['OVIALCDMX', 'SSP_CDMX', 'UCS_GCDMX']",0,0,0,1022534991031488513,Rubén Pliego Rodríguez,RubnPliego1,2018-07-26 11:31:54,0,15,16,2019-07-01 13:06:33,2019,07,01,13,06,5,Gustavo A. Madero,-99.1843501,19.3998346
1145922338044727296,incendio,coordenadas,"Entre otras noticias:

La Bigorra, el pride, el vecino engañando a la esposa... Todo puede ser cortina de humo pa’ quien no se quiere informar. Buuut luego es mucho estrés lo que hace este señor y es más cúl hablar de Ventaneando y así. https://t.co/JHFEJdKr7q","['noticia', 'borra', 'pridir', 'vecino', 'engañar', 'espós', 'poder', 'ser', 'cortín', 'humo', 'pa', 'querer', 'informar', 'buque', 'luego', 'estrés', 'hacer', 'señor', 'col', 'hablar', 'ventanear', 'así']",[],[],0,0,0,68074195,Andrea Vera,andreaverabau,2009-08-22 22:43:29,0,682,497,2019-07-02 00:09:10,2019,07,02,00,09,4,Cuajimalpa de Morelos,-99.1919955,19.357102
1146075908731801600,incendio,palabras clave,🔴#Precaución | Reportan fuerte incendio en casa de Tláhuac ➡️ https://t.co/ZfJJaqfKPe https://t.co/AWSZ4DRZIV,"['reportar', 'fuerte', 'incendio', 'casa', 'tláhuac']",['Precaución'],[],1,1,0,2826319492,elbigdatamx,ElBigDataMx,2014-10-12 16:11:53,0,40368,18482,2019-07-02 10:19:24,2019,07,02,10,19,11,Tláhuac,19.2769983772,-99.0028216137
1146078314538254337,pirotecnia,coordenadas,"Esperaría que con el gobierno austero que tenemos, no haya fuegos artificiales, ni amenidades, que solo contaminan, para el 15 de septiembre.
Ahorran centavos, y gastan millones. Que incongruentes. #4taTransformacion","['esperar', 'gobierno', 'austero', 'fuego', 'artificial', 'amenidad', 'solo', 'contaminar', '15', 'septiembre', 'ahorrar', 'centavo', 'gastar', 'millón', 'incongruent']",['4taTransformacion'],[],0,0,0,46485403,Luisa María,luisa_sag,2009-06-11 14:42:02,0,1430,597,2019-07-02 10:28:57,2019,07,02,10,28,4,Cuajimalpa de Morelos,-99.1919955,19.357102
1146079321003569152,incendio,palabras clave,🔴#Precaución Reportan fuerte incendio en casa de Tláhuac. https://t.co/8u59AyxzHD,"['reportar', 'fuerte', 'incendio', 'casa', 'tláhuac']",['Precaución'],[],3,0,1,23377748,Fuerza Informativa Azteca,AztecaNoticias,2009-03-08 18:35:31,1,824293,925,2019-07-02 10:32:57,2019,07,02,10,32,11,Tláhuac,19.2769983772,-99.0028216137
1146428458404200449,pirotecnia,coordenadas,"@kinoenbikini Ay nooo, ya ni yo en NYC Jajajajaja yo dije “ay, por mi cumple me trajeron fuegos artificiales en toda la ciudad pero llegaron tarde”","['ay', 'nodo', 'nyc', 'jajajajaja', 'decir', 'ay', 'cumplir', 'traer', 'fuego', 'artificial', 'todo', 'ciudad', 'llegar', 'tarde']",[],['kinoenbikini'],0,0,0,32341869,Vaquerito Montaperros,miguelSGA,2009-04-17 01:39:39,0,383,645,2019-07-03 09:40:18,2019,07,03,09,40,5,Gustavo A. Madero,-99.1843501,19.3998346
1146441663583346688,tránsito,palabras clave,"@UCS_GCDMX, @SSP_CDMX, @Azcapotzalco_ , vehículos pesados estacionados en lugar prohibido con disco de tránsito ""N/E Vehículos De Carga Pesada"", violando el RT, en Av. Los Ángeles entre Av. Sn. Pablo y FFCC, Col. Nva España, favor de enviar unidad de tránsito para lo conducente.","['vehículo', 'pesado', 'estacionado', 'lugar', 'prohibido', 'disco', 'tránsito', 'vehículos', 'carga', 'pesado', 'violar', 'rt', 'av', 'ángel', 'av', 'sn', 'pablo', 'ffcc', 'col', 'nva', 'españa', 'favor', 'enviar', 'unidad', 'tránsito', 'conducente']",[],"['UCS_GCDMX', 'SSP_CDMX', 'Azcapotzalco_']",0,1,0,907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144,2019-07-03 10:32:47,2019,07,03,10,32,2,Azcapotzalco,19.4853286147,-99.1821069423
1146449149052641281,tránsito,coordenadas,"Me pego este camión por pasarse un alto, sin placas y conductor sin licencia, que pasó ahí @andreslajous seguimos esperando a tránsito @SSP_CDMX afuera de la @Mx_Diputados y nomas no llegan https://t.co/vrpGekLXiU","['pego', 'camión', 'pasar él', 'alto', 'placa', 'conductor', 'licencia', 'pasar', 'ahí', 'seguir', 'esperar', 'tránsito', 'afuerar', 'nomas', 'llegar']",[],"['andreslajous', 'SSP_CDMX', 'Mx_Diputados']",0,0,0,44634359,Noé Kiedis,pibe_kiedis,2009-06-04 09:01:49,0,120,563,2019-07-03 11:02:31,2019,07,03,11,02,6,Iztacalco,-99.1217171,19.413772
1146467234967162880,tránsito,palabras clave,"#ReporteVialQro Tome sus precauciones, se registra hecho de tránsito en 5 de Febrero frente al parque industrial Benito Juárez, dirección a la CDMX, ya se encuentra unidad atendiendo en el lugar, maneje con precaución.","['tomar', 'precaución', 'registrar', 'hecho', 'tránsito', 'febrero', 'frente', 'parque', 'industrial', 'benito', 'juarez', 'dirección', 'cdmx', 'encontrar', 'unidad', 'atender', 'lugar', 'maneje', 'precaución']",['ReporteVialQro'],[],0,0,0,163088870,Policía Estatal de Querétaro,poesqro,2010-07-05 08:32:58,0,66358,135,2019-07-03 12:14:23,2019,07,03,12,14,14,Benito Juárez,19.3806424162,-99.1611346584
1146489782572392450,tránsito,palabras clave,"@UCS_GCDMX, @SSP_CDMX, @Azcapotzalco_ , vehículos pesados estacionados en lugar prohibido con disco de tránsito ""N/E Vehículos De Carga Pesada"", violando el RT, en Av. Los Ángeles entre Av. Sn. Pablo y FFCC, Col. Nva España, favor de enviar unidad de tránsito para lo conducente","['vehículo', 'pesado', 'estacionado', 'lugar', 'prohibido', 'disco', 'tránsito', 'vehículos', 'carga', 'pesado', 'violar', 'rt', 'av', 'ángel', 'av', 'sn', 'pablo', 'ffcc', 'col', 'nva', 'españa', 'favor', 'enviar', 'unidad', 'tránsito', 'conducente']",[],"['UCS_GCDMX', 'SSP_CDMX', 'Azcapotzalco_']",0,0,0,907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144,2019-07-03 13:43:59,2019,07,03,13,43,2,Azcapotzalco,19.4853286147,-99.1821069423
1146755495363076096,tránsito,palabras clave,"@UCS_GCDMX, @SSP_CDMX, @Azcapotzalco_ , vehículos pesados estacionados en lugar prohibido con disco de tránsito ""N/E Vehículos De Carga"", violando el RT, en Av. Los Ángeles entre Av. Sn. Pablo y FFCC, Col. Nva España, favor de enviar unidad de tránsito para lo conducente.","['vehículo', 'pesado', 'estacionado', 'lugar', 'prohibido', 'disco', 'tránsito', 'vehículos', 'cargar', 'violar', 'rt', 'av', 'ángel', 'av', 'sn', 'pablo', 'ffcc', 'col', 'nva', 'españa', 'favor', 'enviar', 'unidad', 'tránsito', 'conducente']",[],"['UCS_GCDMX', 'SSP_CDMX', 'Azcapotzalco_']",0,0,0,907034630095867905,MPP,FZ10MPP,2017-09-10 18:14:42,0,9,144,2019-07-04 07:19:50,2019,07,04,07,19,2,Azcapotzalco,19.4853286147,-99.1821069423
1146787895878963200,pirotecnia,coordenadas,"Hoy hace 20 años, durante los fuegos artificiales del 4 de julio en Austin, 4 morros dijeron ""Hagamos una banda de postrock""

@EITS THANK YOU FOR 20 YEARS OF GREATNESS.","['hoy', 'hacer', '20', 'año', 'fuego', 'artificial', 'julio', 'austin', 'morro', 'decir', 'hacer', 'banda', 'poprock', 'thank', 'you', 'for', '20', 'years', 'of', 'greatness']",[],['EITS'],1,0,0,40980215,Os Moreno,oshmoreno,2009-05-18 16:01:03,0,1163,865,2019-07-04 09:28:35,2019,07,04,09,28,5,Gustavo A. Madero,-99.128294,19.4043522
